
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-07-01 12:24:12 /api/attendance-time-edit-requests ................................................... ~ 3.53ms
  2026-07-01 12:24:12 /api/notifications ................................................................... ~ 1.89ms
  2026-07-01 12:24:12 /api/chat/unread-summary ............................................................. ~ 3.11ms
  2026-07-01 12:24:30 /api/auth/me ......................................................................... ~ 0.39ms
  2026-07-01 12:24:30 /api/auth/me ......................................................................... ~ 0.12ms
  2026-07-01 12:24:30 /api/auth/me ......................................................................... ~ 0.17ms
  2026-07-01 12:24:30 /api/auth/me ......................................................................... ~ 0.16ms
  2026-07-01 12:24:31 /api/report-groups ................................................................... ~ 0.48ms
  2026-07-01 12:24:31 /api/projects ........................................................................ ~ 0.28ms
  2026-07-01 12:24:31 /api/organizations/6/members ......................................................... ~ 3.53ms
  2026-07-01 12:24:31 /api/leave-requests .................................................................. ~ 1.48ms
  2026-07-01 12:24:31 /api/attendance-time-edit-requests ................................................... ~ 2.15ms
  2026-07-01 12:24:31 /api/notifications ................................................................... ~ 1.77ms
  2026-07-01 12:24:31 /api/chat/unread-summary ............................................................. ~ 3.50ms
  2026-07-01 12:24:31 /api/report-groups ................................................................... ~ 3.61ms
  2026-07-01 12:24:31 /api/users ........................................................................... ~ 2.14ms
  2026-07-01 12:24:31 /api/projects ........................................................................ ~ 2.20ms
  2026-07-01 12:24:31 /api/leave-requests .................................................................. ~ 2.18ms
  2026-07-01 12:24:31 /api/organizations/6/members ......................................................... ~ 1.67ms
  2026-07-01 12:24:31 /api/attendance-time-edit-requests ................................................... ~ 1.55ms
  2026-07-01 12:24:31 /api/leave-requests ................................................................ ~ 502.96ms
  2026-07-01 12:24:31 /api/notifications ................................................................. ~ 502.71ms
  2026-07-01 12:24:31 /api/attendance-time-edit-requests ................................................... ~ 2.69ms
  2026-07-01 12:24:31 /api/chat/unread-summary ............................................................. ~ 1.52ms
  2026-07-01 12:24:31 /api/notifications ................................................................... ~ 1.64ms
  2026-07-01 12:24:31 /api/users ........................................................................... ~ 2.04ms
  2026-07-01 12:24:31 /api/chat/unread-summary ............................................................. ~ 1.92ms
  2026-07-01 12:24:31 /api/users ........................................................................... ~ 1.49ms
  2026-07-01 12:24:31 /api/leave-requests .................................................................. ~ 1.88ms
  2026-07-01 12:24:31 /api/attendance-time-edit-requests ................................................... ~ 5.09ms
  2026-07-01 12:24:32 /api/notifications ................................................................... ~ 1.68ms
  2026-07-01 12:24:32 /api/chat/unread-summary ............................................................. ~ 2.16ms
  2026-07-01 12:24:32 /api/users ........................................................................... ~ 1.58ms
  2026-07-01 12:24:33 /api/employees/65/workspace .......................................................... ~ 0.40ms
  2026-07-01 12:24:33 /api/employees/65/workspace .......................................................... ~ 0.73ms
  2026-07-01 12:24:36 /api/invites/send .................................................................... ~ 0.29ms
  2026-07-01 12:24:36 /api/invites/send .................................................................. ~ 502.55ms
  2026-07-01 12:24:39 /api/leave-requests ................................................................ ~ 516.84ms
  2026-07-01 12:24:39 /api/attendance-time-edit-requests ................................................. ~ 520.94ms
  2026-07-01 12:24:39 /api/notifications ................................................................. ~ 522.66ms
  2026-07-01 12:24:39 /api/chat/unread-summary ............................................................. ~ 4.88ms
  2026-07-01 12:24:39 /api/leave-requests .................................................................. ~ 1.45ms
  2026-07-01 12:24:39 /api/attendance-time-edit-requests ................................................... ~ 1.68ms
  2026-07-01 12:24:39 /api/notifications ................................................................... ~ 4.29ms
  2026-07-01 12:24:39 /api/chat/unread-summary ............................................................. ~ 1.58ms
  2026-07-01 12:24:45 /api/payroll/pay-groups .............................................................. ~ 0.55ms
  2026-07-01 12:24:45 /api/payroll/salary-structures ....................................................... ~ 5.56ms
  2026-07-01 12:24:45 /api/payroll/pay-groups ............................................................ ~ 505.63ms
  2026-07-01 12:24:45 /api/payroll/salary-structures ....................................................... ~ 0.26ms
  2026-07-01 12:24:47 /api/leave-requests .................................................................. ~ 0.98ms
  2026-07-01 12:24:47 /api/attendance-time-edit-requests ................................................... ~ 2.87ms
  2026-07-01 12:24:47 /api/notifications ................................................................... ~ 4.19ms
  2026-07-01 12:24:47 /api/chat/unread-summary ............................................................. ~ 3.15ms
  2026-07-01 12:24:51 /api/users ......................................................................... ~ 513.79ms
  2026-07-01 12:24:51 /api/roles ......................................................................... ~ 515.81ms
  2026-07-01 12:24:51 /api/report-groups ................................................................. ~ 517.91ms
  2026-07-01 12:24:51 /api/organizations/6/members ....................................................... ~ 519.75ms
  2026-07-01 12:24:55 /api/leave-requests .................................................................. ~ 1.48ms
  2026-07-01 12:24:55 /api/attendance-time-edit-requests ................................................... ~ 3.78ms
  2026-07-01 12:24:55 /api/notifications ................................................................... ~ 1.23ms
  2026-07-01 12:24:55 /api/chat/unread-summary ............................................................. ~ 3.05ms
  2026-07-01 12:24:57 /api/payroll/onboarding-status ....................................................... ~ 1.05ms
  2026-07-01 12:24:57 /api/payroll/runs .................................................................... ~ 0.21ms
  2026-07-01 12:24:57 /api/payroll/pay-groups .............................................................. ~ 2.61ms
  2026-07-01 12:24:57 /api/payroll/onboarding-status ....................................................... ~ 1.65ms
  2026-07-01 12:24:57 /api/payroll/runs .................................................................... ~ 1.43ms
  2026-07-01 12:24:57 /api/payroll/pay-groups .............................................................. ~ 2.21ms
  2026-07-01 12:24:59 /api/payroll/pay-groups/3/employees .................................................. ~ 1.00ms
  2026-07-01 12:24:59 /api/payroll/pay-groups/3/employees .................................................. ~ 0.10ms
  2026-07-01 12:25:03 /api/leave-requests .................................................................. ~ 1.32ms
  2026-07-01 12:25:03 /api/attendance-time-edit-requests ................................................... ~ 3.46ms
  2026-07-01 12:25:03 /api/notifications ................................................................... ~ 4.65ms
  2026-07-01 12:25:03 /api/chat/unread-summary ............................................................. ~ 6.75ms
  2026-07-01 12:25:11 /api/leave-requests .................................................................. ~ 0.83ms
  2026-07-01 12:25:11 /api/attendance-time-edit-requests ................................................. ~ 517.29ms
  2026-07-01 12:25:11 /api/notifications ................................................................. ~ 517.78ms
  2026-07-01 12:25:11 /api/chat/unread-summary ............................................................. ~ 1.54ms
  2026-07-01 12:25:19 /api/leave-requests .................................................................. ~ 0.51ms
  2026-07-01 12:25:19 /api/attendance-time-edit-requests ................................................... ~ 2.28ms
  2026-07-01 12:25:19 /api/notifications ................................................................... ~ 3.55ms
  2026-07-01 12:25:19 /api/chat/unread-summary ............................................................. ~ 5.10ms
  2026-07-01 12:25:27 /api/leave-requests .................................................................. ~ 1.21ms
  2026-07-01 12:25:27 /api/attendance-time-edit-requests ................................................... ~ 3.36ms
  2026-07-01 12:25:27 /api/notifications ................................................................... ~ 1.20ms
  2026-07-01 12:25:27 /api/chat/unread-summary ............................................................. ~ 3.10ms
  2026-07-01 12:25:35 /api/leave-requests .................................................................. ~ 0.98ms
  2026-07-01 12:25:35 /api/attendance-time-edit-requests ................................................... ~ 2.79ms
